Namespace(arch='resnet18', batch_size=64, ckpt=None, data_dir='/home/aamich/fall21/CycleGAN_pix2pix/MNIST', dataset='MNIST', epochs=500, exp_name='train_MNIST', in_channel=1, lr=0.5, method='SupCon', momentum=0.9, normalize=False, num_classes=10, print_freq=100, results_dir='/home/aamich/fall21/SSD', save_freq=1, seed=12345, size=28, temperature=0.5, training_mode='SimCLR', warmup=True, weight_decay=0.0001)
Epoch 91, validation accuracy 94.88999999999999, best_prec 96.42999999999999
Epoch 92, validation accuracy 95.76, best_prec 96.42999999999999
Epoch 93, validation accuracy 94.85, best_prec 96.42999999999999
Epoch 94, validation accuracy 94.80999999999999, best_prec 96.42999999999999
Epoch 95, validation accuracy 95.85000000000001, best_prec 96.42999999999999
Epoch 96, validation accuracy 94.51, best_prec 96.42999999999999
Epoch 97, validation accuracy 95.28999999999999, best_prec 96.42999999999999
Epoch 98, validation accuracy 94.98, best_prec 96.42999999999999
Epoch 99, validation accuracy 95.22, best_prec 96.42999999999999
Epoch 100, validation accuracy 94.99000000000001, best_prec 96.42999999999999
Epoch 101, validation accuracy 94.99000000000001, best_prec 96.42999999999999
Epoch 102, validation accuracy 94.71000000000001, best_prec 96.42999999999999
Epoch 103, validation accuracy 94.63000000000001, best_prec 96.42999999999999
Epoch 104, validation accuracy 95.78999999999999, best_prec 96.42999999999999
Epoch 105, validation accuracy 95.57, best_prec 96.42999999999999
Epoch 106, validation accuracy 94.41, best_prec 96.42999999999999
Epoch 107, validation accuracy 95.50999999999999, best_prec 96.42999999999999
Epoch 108, validation accuracy 95.93, best_prec 96.42999999999999
Epoch 109, validation accuracy 95.07, best_prec 96.42999999999999
Epoch 110, validation accuracy 95.05000000000001, best_prec 96.42999999999999
Epoch 111, validation accuracy 95.83, best_prec 96.42999999999999
Epoch 112, validation accuracy 95.55, best_prec 96.42999999999999
Epoch 113, validation accuracy 95.42999999999999, best_prec 96.42999999999999
Epoch 114, validation accuracy 95.32000000000001, best_prec 96.42999999999999
Epoch 115, validation accuracy 95.34, best_prec 96.42999999999999
Epoch 116, validation accuracy 94.57, best_prec 96.42999999999999
Epoch 117, validation accuracy 94.65, best_prec 96.42999999999999
Epoch 118, validation accuracy 95.49999999999999, best_prec 96.42999999999999
Epoch 119, validation accuracy 95.26999999999998, best_prec 96.42999999999999
Epoch 120, validation accuracy 95.12, best_prec 96.42999999999999
Epoch 121, validation accuracy 94.88, best_prec 96.42999999999999
Epoch 122, validation accuracy 95.81000000000002, best_prec 96.42999999999999
Epoch 123, validation accuracy 95.33, best_prec 96.42999999999999
Epoch 124, validation accuracy 95.66000000000001, best_prec 96.42999999999999
Epoch 125, validation accuracy 96.07, best_prec 96.42999999999999
Epoch 126, validation accuracy 95.49, best_prec 96.42999999999999
Epoch 127, validation accuracy 95.41000000000001, best_prec 96.42999999999999
Epoch 128, validation accuracy 95.35, best_prec 96.42999999999999
Epoch 129, validation accuracy 95.61, best_prec 96.42999999999999
Epoch 130, validation accuracy 94.82, best_prec 96.42999999999999
Epoch 131, validation accuracy 95.25, best_prec 96.42999999999999
Epoch 132, validation accuracy 95.68999999999998, best_prec 96.42999999999999
Epoch 133, validation accuracy 95.82000000000001, best_prec 96.42999999999999
Epoch 134, validation accuracy 95.55999999999999, best_prec 96.42999999999999
Epoch 135, validation accuracy 95.44, best_prec 96.42999999999999
Epoch 136, validation accuracy 95.46999999999998, best_prec 96.42999999999999
